date;tavg;tmin;tmax;wdir;wspd;pres
2021-01-02;7,1;2,1;14,5;72;4,9;1024,6
2021-01-03;6,4;1;13,1;94;6,9;1025,1
2021-01-04;5,9;0,4;12,9;113;6,4;1022,1
2021-01-05;4,8;1,5;8;135;8,1;1019,6
2021-01-06;4,7;2,3;7,4;144;5,6;1024,6
2021-01-07;5,6;4;8,7;152;5,7;1023
2021-01-08;7,2;3,9;13;160;7,7;1019,5
2021-01-09;9,4;3,9;14,8;196;9,4;1018,4
2021-01-10;11,6;9,6;14,2;213;10,4;1019,3
2021-01-11;11,2;7,7;15;217;14,4;1018,4
2021-01-12;13,6;8,3;18,4;205;13,7;1014,8
2021-01-13;5,4;1,2;12,2;209;16;1006
2021-01-14;2,6;-4,7;5,3;209;8,2;1007,3
2021-01-15;-1,1;-4,5;0,9;232;8,9;1012,8
2021-01-16;-1,3;-6,2;3,9;92;8,3;1011,1
2021-01-17;-0,7;-4,9;3;257;12,5;1006,1
2021-01-18;-5,7;-8,6;-2,8;261;9,5;1019,2
2021-01-19;-8,4;-13,2;-2,9;63;3,3;1024,4
2021-01-20;-5,9;-11,8;-1,5;203;5,5;1028,9
2021-01-21;-1,5;-4,6;1,9;177;5,2;1033,2
2021-01-22;-0,8;-6;5,1;133;5;1030,5
2021-01-23;1,1;-3,4;7,3;118;6;1024,8
2021-01-24;3,1;-1,5;7,9;147;8,7;1019,2
2021-01-25;5,2;1;8;167;18,6;1016,6
2021-01-26;8,6;5,5;11,4;175;19,4;1015,2
2021-01-27;7,2;2,9;11,7;165;24,3;1004,5
2021-01-28;0,3;-2,8;1,7;236;12,1;1009,6
2021-01-29;-0,6;-2,2;1,5;223;7,8;1016
2021-01-30;1,8;-0,9;5;169;11,9;1009,9
2021-01-31;3,8;1,8;6,7;221;8,4;1012,8
2021-02-01;7,5;1,3;13;167;13,6;1016,9
2021-02-02;8,6;5,1;15,3;145;10,5;1019,2
2021-02-03;9;3,8;15,9;97;5,5;1018,2
2021-02-04;8,6;2,6;15,1;197;7;1017,5
2021-02-05;8,2;2,6;13,3;236;8;1020,7
2021-02-06;8,1;1,3;15,1;210;8;1019,4
2021-02-07;8,9;2,1;16,2;219;8,7;1017,6
2021-02-08;11,3;5,3;16,4;181;11,4;1015,7
2021-02-09;11,9;8;16,7;210;16,5;1016
2021-02-10;7,9;5,3;11,8;205;12,1;1016,2
2021-02-11;8,8;3,7;16,6;175;9,8;1015,2
2021-02-12;5,5;-1,3;10,6;223;18,2;1013,6
2021-02-13;3,3;-4,6;5,5;255;7,4;1024
2021-02-14;5,1;0,5;10;114;7,8;1016,9
2021-02-15;-1,1;-4,2;5,3;351;9,5;1016,8
2021-02-16;-4,2;-7,6;-1,5;26;14,6;1017,8
2021-02-17;-5,3;-8,8;-1;34;8,8;1019,2
2021-02-18;-4,6;-10,9;-0,6;188;5,8;1022,8
2021-02-19;-0,5;-3,1;0,5;295;11;1027,2
2021-02-20;-5,8;-9,5;0,2;115;5,9;1031,8
2021-02-21;-2,3;-6,9;5,3;91;4,9;1032
2021-02-22;1,1;-6,3;8,2;163;3,8;1031,8
2021-02-23;4,3;-2,7;12,2;166;4,5;1030,7
2021-02-24;6,6;-0,8;14,6;34;5;1027,9
2021-02-25;4,5;-2;8,1;39;8,6;1031,1
2021-02-26;5,4;-1,1;12,1;43;4,3;1028,4
2021-02-27;6,4;-0,9;13,7;175;5,1;1021
2021-02-28;4,2;0,7;11,6;283;9,8;1021,1
2021-03-01;2,3;-3,9;7,5;16;5,1;1026
2021-03-02;3,7;0,6;8,1;56;10,1;1026,1
2021-03-03;4,7;-1,5;12,7;23;8,9;1025,3
2021-03-04;4,3;-1,4;9,6;347;6,5;1024,5
2021-03-05;6,9;-2,1;16,1;207;7,5;1020,6
2021-03-06;7,7;0,7;13,1;241;10,9;1020,1
2021-03-07;3,8;1,2;5,8;304;5,6;1021,8
2021-03-08;2,9;-0,2;7,8;240;7,7;1019
2021-03-09;4,3;-2,6;10,3;231;4,8;1018
2021-03-10;7,8;-0,8;13,7;118;7,8;1013,9
2021-03-11;5,4;0,5;9,7;252;9,6;1008,3
2021-03-12;3,1;-1,8;7,2;310;8,7;1020,9
2021-03-13;7,2;-1,9;13,8;169;5,7;1018,7
2021-03-14;9,3;3,1;14,3;169;5,7;1014,1
2021-03-15;10,4;4,6;15,4;174;10,1;1007,7
2021-03-16;5,8;3,1;9,8;211;20,3;1002,9
2021-03-17;3,7;0,9;7,8;217;13,2;1004,6
2021-03-18;3;-1,9;7,4;241;14,9;1010,9
